"year","oa_type","value","pc"
2015,"closed",53,0.324000489057342
2015,"gold",21,0.128377552268003
2015,"hybrid",11,0.0672453845213351
2015,"green",4,0.0244528670986673
2015,"bronze",2,0.0122264335493337
2015,"closed",187,1.1431715368627
2015,"gold",48,0.293434405184008
2015,"hybrid",28,0.171170069690671
2015,"green",20,0.122264335493337
2015,"bronze",14,0.0855850348453356
2015,"closed",143,0.874189998777357
2015,"gold",44,0.268981538085341
2015,"hybrid",39,0.238415454212006
2015,"green",20,0.122264335493337
2015,"bronze",18,0.110037901944003
2015,"closed",113,0.690793495537352
2015,"gold",54,0.330113705832009
2015,"hybrid",49,0.299547621958675
2015,"green",20,0.122264335493337
2015,"bronze",15,0.0916982516200024
2015,"closed",141,0.861963565228023
2015,"gold",75,0.458491258100012
2015,"hybrid",41,0.25064188776134
2015,"green",15,0.0916982516200024
2015,"bronze",10,0.0611321677466683
2015,"closed",52,0.317887272282675
2015,"gold",19,0.11615111871867
2015,"hybrid",10,0.0611321677466683
2015,"green",8,0.0489057341973346
2015,"bronze",4,0.0244528670986673
2015,"closed",0,0
2015,"gold",0,0
2015,"hybrid",0,0
2015,"green",0,0
2015,"bronze",0,0
2015,"closed",35,0.213962587113339
2015,"gold",11,0.0672453845213351
2015,"hybrid",7,0.0427925174226678
2015,"green",6,0.036679300648001
2015,"bronze",0,0
2015,"closed",12,0.073358601296002
2015,"gold",12,0.073358601296002
2015,"hybrid",7,0.0427925174226678
2015,"green",1,0.00611321677466683
2015,"bronze",0,0
2016,"closed",2997,17.2073261755756
2016,"gold",620,3.55974048343572
2016,"hybrid",587,3.3702704254464
2016,"green",421,2.41717861859103
2016,"bronze",270,1.55020956536717
2016,"closed",788,4.52431532410863
2016,"gold",199,1.14256186484469
2016,"hybrid",131,0.752138715048516
2016,"green",79,0.453579835792616
2016,"bronze",43,0.246885227076994
2016,"closed",493,2.83056783602228
2016,"gold",218,1.25165068611127
2016,"hybrid",103,0.591376241603032
2016,"green",87,0.499511971062755
2016,"bronze",48,0.27559281162083
2016,"closed",1118,6.41901590400184
2016,"gold",231,1.32629040592525
2016,"hybrid",161,0.924384222311535
2016,"green",157,0.901418154676466
2016,"bronze",110,0.631566859964403
2016,"closed",1185,6.80369753688925
2016,"gold",246,1.41241315955675
2016,"hybrid",165,0.947350289946604
2016,"green",118,0.677498995234541
2016,"bronze",64,0.367457082161107
2016,"closed",776,4.45541712120342
2016,"gold",206,1.18275248320606
2016,"hybrid",132,0.757880231957283
2016,"green",119,0.683240512143308
2016,"bronze",86,0.493770454153987
2016,"closed",227,1.30332433829018
2016,"gold",56,0.321524946890969
2016,"hybrid",52,0.298558879255899
2016,"green",39,0.223919159441925
2016,"bronze",38,0.218177642533157
2016,"closed",1793,10.2945398174198
2016,"gold",461,2.64683929494172
2016,"hybrid",458,2.62961474421542
2016,"green",250,1.43537922719182
2016,"bronze",181,1.03921456048688
2016,"closed",188,1.07940517884825
2016,"gold",74,0.42487225124878
2016,"hybrid",66,0.378940115978642
2016,"green",47,0.269851294712063
2016,"bronze",42,0.241143710168226
2016,"closed",36,0.206694608715623
2016,"gold",17,0.097605787449044
2016,"hybrid",10,0.057415169087673
2016,"green",6,0.0344491014526038
2016,"bronze",2,0.0114830338175346
2016,"closed",151,0.866969053223862
2016,"gold",51,0.292817362347132
2016,"hybrid",30,0.172245507263019
2016,"green",21,0.120571855084113
2016,"bronze",18,0.103347304357811
2016,"closed",167,0.958833323764139
2016,"gold",55,0.315783429982201
2016,"hybrid",48,0.27559281162083
2016,"green",27,0.155020956536717
2016,"bronze",18,0.103347304357811
2016,"closed",159,0.912901188494
2016,"gold",58,0.333007980708503
2016,"hybrid",30,0.172245507263019
2016,"green",28,0.160762473445484
2016,"bronze",19,0.109088821266579
2016,"closed",162,0.930125739220302
2016,"gold",60,0.344491014526038
2016,"hybrid",53,0.304300396164667
2016,"green",20,0.114830338175346
2016,"bronze",11,0.0631566859964403
2016,"closed",63,0.36171556525234
2016,"gold",18,0.103347304357811
2016,"hybrid",15,0.0861227536315094
2016,"green",11,0.0631566859964403
2016,"bronze",9,0.0516736521789057
2016,"closed",0,0
2016,"gold",0,0
2016,"hybrid",0,0
2016,"green",0,0
2016,"bronze",0,0
2016,"closed",55,0.315783429982201
2016,"gold",12,0.0688982029052076
2016,"hybrid",7,0.0401906183613711
2016,"green",6,0.0344491014526038
2016,"bronze",5,0.0287075845438365
2016,"closed",14,0.0803812367227422
2016,"gold",8,0.0459321352701384
2016,"hybrid",5,0.0287075845438365
2016,"green",2,0.0114830338175346
2016,"bronze",0,0
2017,"closed",2896,15.6464422713275
2017,"gold",702,3.79274947322924
2017,"hybrid",560,3.02555513533956
2017,"green",524,2.83105516235345
2017,"bronze",288,1.55599978388892
2017,"closed",810,4.37624939218758
2017,"gold",210,1.13458317575234
2017,"hybrid",199,1.07515262845102
2017,"green",95,0.513263817602247
2017,"bronze",51,0.275541628396996
2017,"closed",674,3.64147171646226
2017,"gold",222,1.19941650008104
2017,"hybrid",154,0.83202766221838
2017,"green",92,0.497055486520071
2017,"bronze",58,0.313361067588741
2017,"closed",1194,6.45091577070614
2017,"gold",295,1.59381922308066
2017,"hybrid",173,0.93468042573883
2017,"green",172,0.929277648711438
2017,"bronze",118,0.637527689232265
2017,"closed",1199,6.4779296558431
2017,"gold",258,1.39391647306716
2017,"hybrid",201,1.08595818250581
2017,"green",174,0.940083202766222
2017,"bronze",87,0.470041601383111
2017,"closed",783,4.230374412448
2017,"gold",224,1.21022205413583
2017,"hybrid",207,1.11837484467016
2017,"green",109,0.588902695985737
2017,"bronze",104,0.561888810848776
2017,"closed",254,1.37230536495759
2017,"gold",75,0.405208277054406
2017,"hybrid",44,0.237722189205251
2017,"green",37,0.199902750013507
2017,"bronze",35,0.189097195958723
2017,"closed",1802,9.73580420336053
2017,"gold",592,3.19844400021611
2017,"hybrid",447,2.41504133124426
2017,"green",320,1.72888864876547
2017,"bronze",178,0.96169431087579
2017,"closed",188,1.01572208114971
2017,"gold",79,0.426819385163974
2017,"hybrid",56,0.302555513533956
2017,"green",45,0.243124966232644
2017,"bronze",42,0.226916635150467
2017,"closed",27,0.145874979739586
2017,"gold",17,0.0918472094656654
2017,"hybrid",13,0.070236101356097
2017,"green",8,0.0432222162191366
2017,"bronze",7,0.0378194391917446
2017,"closed",164,0.886055432492301
2017,"gold",46,0.248527743260036
2017,"hybrid",36,0.194499972986115
2017,"green",35,0.189097195958723
2017,"bronze",32,0.172888864876547
2017,"closed",142,0.767194337889675
2017,"gold",36,0.194499972986115
2017,"hybrid",28,0.151277756766978
2017,"green",26,0.140472202712194
2017,"bronze",19,0.10265276352045
2017,"closed",137,0.740180452752715
2017,"gold",67,0.361986060835269
2017,"hybrid",37,0.199902750013507
2017,"green",27,0.145874979739586
2017,"bronze",26,0.140472202712194
2017,"closed",154,0.83202766221838
2017,"gold",66,0.356583283807877
2017,"hybrid",62,0.334972175698309
2017,"green",20,0.108055540547842
2017,"bronze",13,0.070236101356097
2017,"closed",67,0.361986060835269
