"year","institution","oa_type","value","pc"
2014,"AgResearch","hybrid",50,12.853470437018
2014,"AgResearch","green",23,5.91259640102828
2014,"AgResearch","bronze",22,5.65552699228792
2014,"ESR","closed",51,62.1951219512195
2014,"ESR","gold",12,14.6341463414634
2014,"ESR","hybrid",10,12.1951219512195
2014,"ESR","green",6,7.31707317073171
2014,"ESR","bronze",3,3.65853658536585
2014,"GNS","closed",198,64.9180327868852
2014,"GNS","gold",47,15.4098360655738
2014,"GNS","hybrid",25,8.19672131147541
2014,"GNS","green",23,7.54098360655738
2014,"GNS","bronze",12,3.9344262295082
2014,"Landcare Research","closed",148,49.8316498316498
2014,"Landcare Research","gold",70,23.5690235690236
2014,"Landcare Research","hybrid",41,13.8047138047138
2014,"Landcare Research","green",25,8.41750841750842
2014,"Landcare Research","bronze",13,4.37710437710438
2014,"NIWA","closed",123,49.003984063745
2014,"NIWA","gold",58,23.1075697211155
2014,"NIWA","hybrid",40,15.9362549800797
2014,"NIWA","green",21,8.36653386454183
2014,"NIWA","bronze",9,3.58565737051793
2014,"Plant & Food Research","closed",177,58.8039867109634
2014,"Plant & Food Research","gold",63,20.9302325581395
2014,"Plant & Food Research","hybrid",35,11.6279069767442
2014,"Plant & Food Research","green",16,5.3156146179402
2014,"Plant & Food Research","bronze",10,3.32225913621263
2014,"Scion","closed",60,53.5714285714286
2014,"Scion","gold",31,27.6785714285714
2014,"Scion","hybrid",14,12.5
2014,"Scion","green",4,3.57142857142857
2014,"Scion","bronze",3,2.67857142857143
2014,"Te Pūkenga","closed",0,NA
2014,"Te Pūkenga","gold",0,NA
2014,"Te Pūkenga","hybrid",0,NA
2014,"Te Pūkenga","green",0,NA
2014,"Te Pūkenga","bronze",0,NA
2014,"Cawthron Institute","closed",39,59.0909090909091
2014,"Cawthron Institute","gold",13,19.6969696969697
2014,"Cawthron Institute","hybrid",10,15.1515151515152
2014,"Cawthron Institute","green",4,6.06060606060606
2014,"Cawthron Institute","bronze",0,0
2014,"Malaghan Institute","closed",18,51.4285714285714
2014,"Malaghan Institute","gold",11,31.4285714285714
2014,"Malaghan Institute","hybrid",3,8.57142857142857
2014,"Malaghan Institute","green",2,5.71428571428571
2014,"Malaghan Institute","bronze",1,2.85714285714286
2015,"University of Auckland","closed",2841,62.5082508250825
2015,"University of Auckland","gold",559,12.2992299229923
2015,"University of Auckland","hybrid",551,12.1232123212321
2015,"University of Auckland","green",379,8.33883388338834
2015,"University of Auckland","bronze",215,4.73047304730473
2015,"Auckland University of Technology","closed",682,62.4542124542125
2015,"Auckland University of Technology","gold",148,13.5531135531136
2015,"Auckland University of Technology","hybrid",137,12.5457875457875
2015,"Auckland University of Technology","green",90,8.24175824175824
2015,"Auckland University of Technology","bronze",35,3.2051282051282
2015,"University of Waikato","closed",580,59.5482546201232
2015,"University of Waikato","gold",170,17.4537987679671
2015,"University of Waikato","hybrid",118,12.1149897330595
2015,"University of Waikato","green",77,7.90554414784394
2015,"University of Waikato","bronze",29,2.97741273100616
2015,"Massey University","closed",1024,63.760896637609
2015,"Massey University","gold",175,10.8966376089664
2015,"Massey University","hybrid",175,10.8966376089664
2015,"Massey University","green",155,9.65130759651308
2015,"Massey University","bronze",77,4.79452054794521
2015,"Victoria University of Wellington","closed",1080,66.0954712362301
2015,"Victoria University of Wellington","gold",182,11.1383108935129
2015,"Victoria University of Wellington","hybrid",178,10.8935128518972
2015,"Victoria University of Wellington","green",147,8.99632802937576
2015,"Victoria University of Wellington","bronze",47,2.87637698898409
2015,"University of Canterbury","closed",776,57.7810871183917
2015,"University of Canterbury","gold",218,16.2323157110946
2015,"University of Canterbury","hybrid",157,11.6902457185406
2015,"University of Canterbury","green",126,9.38198064035741
2015,"University of Canterbury","bronze",66,4.91437081161579
2015,"Lincoln University","closed",197,57.7712609970675
2015,"Lincoln University","gold",55,16.1290322580645
2015,"Lincoln University","hybrid",48,14.0762463343109
2015,"Lincoln University","green",28,8.21114369501466
2015,"Lincoln University","bronze",13,3.81231671554252
2015,"University of Otago","closed",1769,57.5471698113208
2015,"University of Otago","gold",474,15.4196486662329
2015,"University of Otago","hybrid",449,14.6063760572544
2015,"University of Otago","green",227,7.38451528952505
2015,"University of Otago","bronze",155,5.04229017566688
2015,"AgResearch","closed",179,47.1052631578947
2015,"AgResearch","gold",61,16.0526315789474
2015,"AgResearch","hybrid",52,13.6842105263158
2015,"AgResearch","green",50,13.1578947368421
2015,"AgResearch","bronze",38,10
2015,"ESR","closed",53,58.2417582417582
2015,"ESR","gold",21,23.0769230769231
2015,"ESR","hybrid",11,12.0879120879121
2015,"ESR","green",4,4.3956043956044
2015,"ESR","bronze",2,2.1978021978022
2015,"GNS","closed",187,62.962962962963
2015,"GNS","gold",48,16.1616161616162
2015,"GNS","hybrid",28,9.42760942760943
2015,"GNS","green",20,6.73400673400673
2015,"GNS","bronze",14,4.71380471380471
2015,"Landcare Research","closed",143,54.1666666666667
2015,"Landcare Research","gold",44,16.6666666666667
2015,"Landcare Research","hybrid",39,14.7727272727273
2015,"Landcare Research","green",20,7.57575757575758
2015,"Landcare Research","bronze",18,6.81818181818182
2015,"NIWA","closed",113,45.0199203187251
2015,"NIWA","gold",54,21.5139442231076
2015,"NIWA","hybrid",49,19.5219123505976
2015,"NIWA","green",20,7.96812749003984
2015,"NIWA","bronze",15,5.97609561752988
2015,"Plant & Food Research","closed",141,50
2015,"Plant & Food Research","gold",75,26.5957446808511
