"year","institution","abbrev","country","key","count","pc"
2018,"Victoria University of Wellington","VUW","nz","closed",1249,59.6466093600764
2018,"Victoria University of Wellington","VUW","nz","green",349,16.6666666666667
2018,"Victoria University of Wellington","VUW","nz","gold",188,8.97803247373448
2018,"Victoria University of Wellington","VUW","nz","bronze",172,8.21394460362942
2018,"Victoria University of Wellington","VUW","nz","hybrid",79,3.77268385864374
2018,"Victoria University of Wellington","VUW","nz","diamond",57,2.72206303724928
2018,"Massey University","MU","nz","closed",1104,57.8616352201258
2018,"Massey University","MU","nz","gold",279,14.622641509434
2018,"Massey University","MU","nz","green",201,10.5345911949686
2018,"Massey University","MU","nz","bronze",189,9.90566037735849
2018,"Massey University","MU","nz","hybrid",83,4.35010482180294
2018,"Massey University","MU","nz","diamond",52,2.72536687631027
2018,"University of Canterbury","UC","nz","closed",926,57.6228998133167
2018,"University of Canterbury","UC","nz","green",221,13.7523335407592
2018,"University of Canterbury","UC","nz","gold",209,13.005600497822
2018,"University of Canterbury","UC","nz","bronze",153,9.52084629744866
2018,"University of Canterbury","UC","nz","hybrid",59,3.67143746110765
2018,"University of Canterbury","UC","nz","diamond",39,2.42688238954574
2018,"Auckland University of Technology","AUT","nz","closed",825,61.0207100591716
2018,"Auckland University of Technology","AUT","nz","gold",180,13.3136094674556
2018,"Auckland University of Technology","AUT","nz","green",151,11.1686390532544
2018,"Auckland University of Technology","AUT","nz","bronze",107,7.91420118343195
2018,"Auckland University of Technology","AUT","nz","hybrid",49,3.62426035502959
2018,"Auckland University of Technology","AUT","nz","diamond",40,2.9585798816568
2018,"University of Waikato","UOW","nz","closed",653,56.9311246730602
2018,"University of Waikato","UOW","nz","green",231,20.1394943330427
2018,"University of Waikato","UOW","nz","gold",106,9.24149956408021
2018,"University of Waikato","UOW","nz","bronze",78,6.80034873583261
2018,"University of Waikato","UOW","nz","hybrid",49,4.2720139494333
2018,"University of Waikato","UOW","nz","diamond",30,2.615518744551
2018,"Lincoln University","LU","nz","closed",275,59.5238095238095
2018,"Lincoln University","LU","nz","gold",68,14.7186147186147
2018,"Lincoln University","LU","nz","bronze",44,9.52380952380952
2018,"Lincoln University","LU","nz","green",39,8.44155844155844
2018,"Lincoln University","LU","nz","hybrid",27,5.84415584415584
2018,"Lincoln University","LU","nz","diamond",9,1.94805194805195
2019,"UNSW Sydney","UNSWS","au","closed",5401,51.6150611620795
2019,"UNSW Sydney","UNSWS","au","gold",1648,15.7492354740061
2019,"UNSW Sydney","UNSWS","au","green",1627,15.5485474006116
2019,"UNSW Sydney","UNSWS","au","bronze",1157,11.0569571865443
2019,"UNSW Sydney","UNSWS","au","hybrid",449,4.29090214067278
2019,"UNSW Sydney","UNSWS","au","diamond",182,1.73929663608563
2019,"The University of Melbourne","UM","au","closed",5634,44.9748543146803
2019,"The University of Melbourne","UM","au","gold",2249,17.9532210425481
2019,"The University of Melbourne","UM","au","green",2033,16.228945477768
2019,"The University of Melbourne","UM","au","bronze",1647,13.1476011814481
2019,"The University of Melbourne","UM","au","hybrid",743,5.93118863255368
2019,"The University of Melbourne","UM","au","diamond",221,1.76418935100184
2019,"The University of Sydney","US","au","closed",6560,52.6653821451509
2019,"The University of Sydney","US","au","gold",2078,16.6827231856134
2019,"The University of Sydney","US","au","bronze",1565,12.5642260757868
2019,"The University of Sydney","US","au","green",1494,11.9942196531792
2019,"The University of Sydney","US","au","hybrid",574,4.60822093770071
2019,"The University of Sydney","US","au","diamond",185,1.48522800256904
2019,"The University of Queensland","UQ","au","closed",5402,53.8530555278636
2019,"The University of Queensland","UQ","au","gold",1721,17.1568138769814
2019,"The University of Queensland","UQ","au","green",1183,11.7934403349616
2019,"The University of Queensland","UQ","au","bronze",1075,10.7167779882365
2019,"The University of Queensland","UQ","au","hybrid",475,4.73532050643007
2019,"The University of Queensland","UQ","au","diamond",175,1.74459176552687
2019,"The University of Western Australia","UWA","au","closed",2777,48.7706357569371
