"institution_name","publication_year","oa_status","count","percent"
"UNSW Sydney",2022,"bronze",603,0.056
"UNSW Sydney",2022,"closed",3707,0.3445
"UNSW Sydney",2022,"diamond",514,0.0478
"UNSW Sydney",2022,"gold",2783,0.2586
"UNSW Sydney",2022,"green",1416,0.1316
"UNSW Sydney",2022,"hybrid",1738,0.1615
"UNSW Sydney",2023,"bronze",845,0.0837
"UNSW Sydney",2023,"closed",2655,0.2631
"UNSW Sydney",2023,"diamond",628,0.0622
"UNSW Sydney",2023,"gold",2460,0.2438
"UNSW Sydney",2023,"green",779,0.0772
"UNSW Sydney",2023,"hybrid",2724,0.2699
"UNSW Sydney",2024,"bronze",776,0.0775
"UNSW Sydney",2024,"closed",2545,0.2543
"UNSW Sydney",2024,"diamond",638,0.0637
"UNSW Sydney",2024,"gold",2344,0.2342
"UNSW Sydney",2024,"green",576,0.0575
"UNSW Sydney",2024,"hybrid",3130,0.3127
"UNSW Sydney",2025,"bronze",528,0.0512
"UNSW Sydney",2025,"closed",2898,0.2808
"UNSW Sydney",2025,"diamond",674,0.0653
"UNSW Sydney",2025,"gold",2397,0.2322
"UNSW Sydney",2025,"green",512,0.0496
"UNSW Sydney",2025,"hybrid",3313,0.321
"UNSW Sydney",2026,"bronze",106,0.0186
"UNSW Sydney",2026,"closed",1642,0.2883
"UNSW Sydney",2026,"diamond",337,0.0592
"UNSW Sydney",2026,"gold",1354,0.2377
"UNSW Sydney",2026,"green",383,0.0672
"UNSW Sydney",2026,"hybrid",1874,0.329
"University of Auckland",2021,"bronze",421,0.0737
"University of Auckland",2021,"closed",2822,0.4942
"University of Auckland",2021,"diamond",317,0.0555
"University of Auckland",2021,"gold",1115,0.1953
"University of Auckland",2021,"green",659,0.1154
"University of Auckland",2021,"hybrid",376,0.0658
"University of Auckland",2022,"bronze",302,0.0566
"University of Auckland",2022,"closed",2252,0.4224
"University of Auckland",2022,"diamond",334,0.0626
"University of Auckland",2022,"gold",1157,0.217
"University of Auckland",2022,"green",520,0.0975
"University of Auckland",2022,"hybrid",767,0.1438
"University of Auckland",2023,"bronze",393,0.0739
"University of Auckland",2023,"closed",1909,0.3588
"University of Auckland",2023,"diamond",391,0.0735
"University of Auckland",2023,"gold",1054,0.1981
"University of Auckland",2023,"green",358,0.0673
"University of Auckland",2023,"hybrid",1216,0.2285
"University of Auckland",2024,"bronze",440,0.0831
"University of Auckland",2024,"closed",1725,0.3258
"University of Auckland",2024,"diamond",361,0.0682
"University of Auckland",2024,"gold",1019,0.1924
"University of Auckland",2024,"green",388,0.0733
"University of Auckland",2024,"hybrid",1362,0.2572
"University of Auckland",2025,"bronze",312,0.0549
"University of Auckland",2025,"closed",2118,0.3729
"University of Auckland",2025,"diamond",386,0.068
"University of Auckland",2025,"gold",1031,0.1815
"University of Auckland",2025,"green",347,0.0611
"University of Auckland",2025,"hybrid",1486,0.2616
"University of Auckland",2026,"bronze",73,0.025
"University of Auckland",2026,"closed",936,0.3204
"University of Auckland",2026,"diamond",199,0.0681
"University of Auckland",2026,"gold",562,0.1924
"University of Auckland",2026,"green",207,0.0709
"University of Auckland",2026,"hybrid",944,0.3232
"University of Canterbury",2021,"bronze",131,0.0773
"University of Canterbury",2021,"closed",821,0.4847
"University of Canterbury",2021,"diamond",131,0.0773
"University of Canterbury",2021,"gold",297,0.1753
"University of Canterbury",2021,"green",161,0.095
"University of Canterbury",2021,"hybrid",153,0.0903
"University of Canterbury",2022,"bronze",58,0.036
"University of Canterbury",2022,"closed",652,0.405
"University of Canterbury",2022,"diamond",136,0.0845
"University of Canterbury",2022,"gold",320,0.1988
"University of Canterbury",2022,"green",162,0.1006
"University of Canterbury",2022,"hybrid",282,0.1752
"University of Canterbury",2023,"bronze",71,0.0392
"University of Canterbury",2023,"closed",588,0.3249
"University of Canterbury",2023,"diamond",175,0.0967
"University of Canterbury",2023,"gold",403,0.2227
"University of Canterbury",2023,"green",103,0.0569
"University of Canterbury",2023,"hybrid",470,0.2597
"University of Canterbury",2024,"bronze",112,0.0637
"University of Canterbury",2024,"closed",554,0.3153
"University of Canterbury",2024,"diamond",197,0.1121
"University of Canterbury",2024,"gold",327,0.1861
"University of Canterbury",2024,"green",77,0.0438
"University of Canterbury",2024,"hybrid",490,0.2789
"University of Canterbury",2025,"bronze",66,0.0383
"University of Canterbury",2025,"closed",593,0.344
"University of Canterbury",2025,"diamond",132,0.0766
"University of Canterbury",2025,"gold",340,0.1972
"University of Canterbury",2025,"green",68,0.0394
"University of Canterbury",2025,"hybrid",525,0.3045
"University of Canterbury",2026,"bronze",20,0.0231
"University of Canterbury",2026,"closed",252,0.2917
"University of Canterbury",2026,"diamond",36,0.0417
"University of Canterbury",2026,"gold",172,0.1991
"University of Canterbury",2026,"green",62,0.0718
"University of Canterbury",2026,"hybrid",322,0.3727
"University of Otago",2021,"bronze",288,0.083
"University of Otago",2021,"closed",1598,0.4608
"University of Otago",2021,"diamond",169,0.0487
"University of Otago",2021,"gold",828,0.2388
"University of Otago",2021,"green",344,0.0992
"University of Otago",2021,"hybrid",241,0.0695
"University of Otago",2022,"bronze",201,0.0634
"University of Otago",2022,"closed",1155,0.3646
"University of Otago",2022,"diamond",172,0.0543
"University of Otago",2022,"gold",804,0.2538
"University of Otago",2022,"green",341,0.1076
"University of Otago",2022,"hybrid",495,0.1562
"University of Otago",2023,"bronze",258,0.0858
"University of Otago",2023,"closed",841,0.2797
"University of Otago",2023,"diamond",256,0.0851
"University of Otago",2023,"gold",698,0.2321
"University of Otago",2023,"green",165,0.0549
"University of Otago",2023,"hybrid",789,0.2624
"University of Otago",2024,"bronze",325,0.107
"University of Otago",2024,"closed",829,0.273
"University of Otago",2024,"diamond",252,0.083
"University of Otago",2024,"gold",665,0.219
"University of Otago",2024,"green",149,0.0491
"University of Otago",2024,"hybrid",817,0.269
"University of Otago",2025,"bronze",210,0.0746
"University of Otago",2025,"closed",781,0.2775
"University of Otago",2025,"diamond",216,0.0768
"University of Otago",2025,"gold",589,0.2093
"University of Otago",2025,"green",182,0.0647
"University of Otago",2025,"hybrid",836,0.2971
"University of Otago",2026,"bronze",38,0.0237
"University of Otago",2026,"closed",449,0.2803
"University of Otago",2026,"diamond",144,0.0899
"University of Otago",2026,"gold",337,0.2104
"University of Otago",2026,"green",82,0.0512
"University of Otago",2026,"hybrid",552,0.3446
"University of Waikato",2021,"bronze",74,0.0621
"University of Waikato",2021,"closed",576,0.4836
"University of Waikato",2021,"diamond",106,0.089
"University of Waikato",2021,"gold",170,0.1427
"University of Waikato",2021,"green",182,0.1528
"University of Waikato",2021,"hybrid",83,0.0697
"University of Waikato",2022,"bronze",38,0.0314
"University of Waikato",2022,"closed",492,0.4066
"University of Waikato",2022,"diamond",124,0.1025
"University of Waikato",2022,"gold",202,0.1669
"University of Waikato",2022,"green",176,0.1455
"University of Waikato",2022,"hybrid",178,0.1471
"University of Waikato",2023,"bronze",65,0.0531
"University of Waikato",2023,"closed",435,0.3557
"University of Waikato",2023,"diamond",135,0.1104
"University of Waikato",2023,"gold",193,0.1578
"University of Waikato",2023,"green",113,0.0924
"University of Waikato",2023,"hybrid",282,0.2306
"University of Waikato",2024,"bronze",96,0.0858
"University of Waikato",2024,"closed",377,0.3369
"University of Waikato",2024,"diamond",82,0.0733
"University of Waikato",2024,"gold",170,0.1519
"University of Waikato",2024,"green",73,0.0652
"University of Waikato",2024,"hybrid",321,0.2869
"University of Waikato",2025,"bronze",75,0.0652
"University of Waikato",2025,"closed",428,0.3722
"University of Waikato",2025,"diamond",105,0.0913
"University of Waikato",2025,"gold",151,0.1313
"University of Waikato",2025,"green",53,0.0461
"University of Waikato",2025,"hybrid",338,0.2939
"University of Waikato",2026,"bronze",18,0.0323
"University of Waikato",2026,"closed",169,0.3029
"University of Waikato",2026,"diamond",43,0.0771
"University of Waikato",2026,"gold",94,0.1685
"University of Waikato",2026,"green",12,0.0215
"University of Waikato",2026,"hybrid",222,0.3978
"Victoria University of Wellington",2021,"bronze",125,0.0604
"Victoria University of Wellington",2021,"closed",998,0.4821
